citizenship,1996_x,2001_x,2014_x,1996_y,2001_y,2014_y,1996 rm proportion,2001 rm proportion,2014 rm proportion
Algeria,0,0,1,28837598,31077277,38813722,0.0,0.0,2.5764084155598373e-08
Angola,0,0,1,11337007,12997970,19088106,0.0,0.0,5.2388644530787915e-08
Argentina,3,4,5,35682983,37739190,43057443,8.407368857026331e-08,1.0599061612080174e-07,1.1612394168413577e-07
Australia,1,3,29,18195852,19294257,22507617,5.495758044196007e-08,1.554866818660081e-07,1.2884527046999245e-06
Austria,0,0,10,8060851,8141540,8615828,0.0,0.0,1.1606545534567311e-06
Bahrain,1,0,0,596466,672086,1314089,1.6765414960785694e-06,0.0,0.0
Belgium,0,1,3,10178934,10292429,11236729,0.0,9.715879507160069e-08,2.6698161003971885e-07
Bermuda,0,1,0,60871,63606,69839,0.0,1.5721787252774896e-05,0.0
Brazil,10,6,65,164369473,176789957,202656788,6.083854755682037e-08,3.393857944091247e-08,3.2073931814215866e-07
Canada,5,16,32,30026324,31376736,34834841,1.6652055043434555e-07,5.099319444826894e-07,9.186205270751774e-07
Chile,5,2,12,14383328,15347732,17363894,3.476246943683687e-07,1.3031241358658074e-07,6.910892222677701e-07
China,0,1,152,1232555700,1275373334,1361344333,0.0,7.840841370453179e-10,1.1165433778611837e-07
Colombia,3,1,4,37097908,39312450,46245297,8.086709363773289e-08,2.5437234260393337e-08,8.649528188779931e-08
Cyprus,0,0,4,864299,932632,1172458,0.0,0.0,3.4116360671341744e-06
Czech Republic,0,0,6,10311817,10250327,10627448,0.0,0.0,5.645758040876794e-07
Denmark,2,2,6,5262075,5355826,5569077,3.8007820108987426e-07,3.73425126208357e-07,1.0773778132354787e-06
Ecuador,1,0,0,11526481,12629117,15654411,8.675674735420117e-08,0.0,0.0
Egypt,0,1,8,60410338,66852387,89959189,0.0,1.495832901224604e-08,8.892921433518037e-08
Finland,0,0,4,5120310,5180309,5454355,0.0,0.0,7.333589397829808e-07
France,14,15,43,60094948,61605930,66259012,2.3296467450142397e-07,2.434830543098692e-07,6.489683244899577e-07
Georgia,0,0,1,4965838,4793253,4935880,0.0,0.0,2.0259811826867753e-07
Germany,47,28,85,81890667,82320660,80996685,5.739359773440361e-07,3.4013332740529533e-07,1.0494256647664037e-06
Greece,5,3,3,10479420,10581515,10775557,4.771256424496775e-07,2.835132776355749e-07,2.78407881838498e-07
Guernsey,0,0,1,60978,62168,65849,0.0,0.0,1.5186259472429347e-05
Hong Kong,18,14,45,6388452,6714968,7112688,2.817583978090467e-06,2.084894522207701e-06,6.326722049385549e-06
India,3,4,56,937725479,1023295084,1236344631,3.199230550074453e-09,3.908940893534089e-09,4.5294813918272276e-08
Indonesia,10,2,19,200984463,217197016,253609643,4.975508977527283e-08,9.208229637924675e-09,7.491828692018623e-08
Ireland,1,2,5,3636179,3872700,4832765,2.750139638340137e-07,5.164355617527823e-07,1.0346044138293503e-06
Israel,3,5,18,5496620,6234319,7921139,5.457899581924892e-07,8.020122165708877e-07,2.27240047169984e-06
Italy,6,17,35,57406046,57931053,61680122,1.0451860767418121e-07,2.9345228715245345e-07,5.674437544076193e-07
Japan,40,29,27,125616709,127108598,127103388,3.184289758777234e-07,2.2815136392268287e-07,2.124254941182213e-07
Kazakhstan,0,0,5,16236550,15736939,17948816,0.0,0.0,2.785699067838235e-07
Kuwait,1,1,5,1740735,2027734,2742711,5.744699796350392e-07,4.931613318117662e-07,1.823013799120651e-06
Lebanon,2,1,6,3704663,3894693,5882562,5.398601708171567e-07,2.567596470376484e-07,1.0199637504883077e-06
Liechtenstein,1,1,0,31146,33312,37313,3.210685160213189e-05,3.0019212295869356e-05,0.0
Lithuania,0,0,1,3500538,3475394,2914462,0.0,0.0,3.431164997176151e-07
Macau,0,0,2,410395,434778,587914,0.0,0.0,3.4018580948914296e-06
Malaysia,11,4,13,20856695,23737357,30073353,5.274085851090022e-07,1.6851075711588277e-07,4.3227637437036037e-07
Mexico,15,13,16,94125591,101125485,120286655,1.5936154918804176e-07,1.2855315353988167e-07,1.3301558680802953e-07
Monaco,0,0,3,31113,31843,30508,0.0,0.0,9.833486298675757e-05
Morocco,0,0,4,26563574,28477475,32987206,0.0,0.0,1.2125913301053748e-07
Nepal,0,0,1,21804106,23887333,28311268,0.0,0.0,3.532162529774364e-08
Netherlands,3,2,7,15545307,16046805,16877351,1.9298428779824034e-07,1.2463540249912677e-07,4.147570314796439e-07
New Zealand,0,1,2,3697014,3837878,4401916,0.0,2.6056065356949856e-07,4.543476068148506e-07
Nigeria,0,0,4,112481808,127128734,177155754,0.0,0.0,2.2579001300742397e-08
Norway,0,2,9,4381277,4515195,5147792,0.0,4.4294875415126035e-07,1.7483223875401337e-06
Oman,0,0,2,2199657,2487301,3219775,0.0,0.0,6.211614165586105e-07
Peru,1,0,8,24286416,26142281,30147935,4.1175280864825834e-08,0.0,2.653581414448452e-07
Philippines,9,3,10,70096910,78179792,99377560,1.2839367669701846e-07,3.8373087510900515e-08,1.0062633858186899e-07
Poland,0,0,5,38629840,38643639,38593885,0.0,0.0,1.295542026929914e-07
Portugal,0,2,3,10099918,10386753,10813834,0.0,1.9255295663620768e-07,2.7742242020730115e-07
Romania,0,0,1,22622471,22415499,21729871,0.0,0.0,4.6019601312865595e-08
Russia,0,8,111,148596840,146334163,142470272,0.0,5.466939391316299e-08,7.791099044157085e-07
Saudi Arabia,7,8,7,19293360,21796085,27345986,3.628191253363852e-07,3.6703839244524877e-07,2.559790676408596e-07
Singapore,4,6,16,3668466,4169481,5567301,1.0903740146426326e-06,1.4390280229122042e-06,2.8739240073421573e-06
South Africa,2,2,8,42672525,45483334,53006857,4.686856472636667e-08,4.397215032653499e-08,1.5092387009476905e-07
South Korea,7,2,27,45467969,47180521,50345320,1.539545344547939e-07,4.239037546872363e-08,5.362961244461252e-07
Spain,3,8,26,39820561,41046894,47737941,7.533796422406002e-08,1.9489903426066782e-07,5.446401636802895e-07
